2021-08-07,Spiders,Cascades
2021-08-07,Aviators,Growlers
2021-08-07,Rush,Royal
2021-08-07,Mechanix,Union
2021-08-07,Flyers,Empire
2021-08-07,Cannons,Hustle
2021-08-07,Roughnecks,Sol
2021-08-08,Royal,Outlaws
2021-08-08,Breeze,Thunderbirds
2021-08-12,Outlaws,Royal
2021-08-13,Cascades,Spiders
2021-08-13,Thunderbirds,Glory
2021-08-13,Empire,Phoenix
2021-08-14,Growlers,Aviators
2021-08-14,Hustle,Flyers
2021-08-14,Royal,Rush
2021-08-14,Wind Chill,Mechanix
2021-08-14,Breeze,Cannons
2021-08-14,Thunderbirds,Empire
2021-08-15,Outlaws,Rush
2021-08-15,Wind Chill,AlleyCats
2021-08-20,Spiders,Growlers
2021-08-20,Glory,Empire
2021-08-21,Union,Mechanix
2021-08-21,Flyers,Breeze
2021-08-21,Hustle,Thunderbirds
2021-08-21,Spiders,Aviators
2021-08-21,Rush,Royal
2021-08-21,Glory,Phoenix
2021-08-22,Radicals,Wind Chill
2021-08-22,Royal,Outlaws
2021-08-28,Outlaws,Rush
2021-08-29,Royal,Rush
2021-09-04,Rush,Outlaws
