2019-06-29,Empire,22,72%,Royal,19,61%
2019-06-29,Mechanix,12,35%,Wind Chill,27,86%
2019-06-29,Cascades,25,71%,Growlers,26,76%
2019-06-29,Hustle,15,57%,Roughnecks,18,66%
2019-06-29,Flyers,22,66%,Cannons,20,68%
2019-06-30,Mechanix,6,47%,Union,12,71%
2019-06-30,Hustle,22,77%,Sol,21,72%
2019-06-30,Cascades,14,43%,Aviators,27,87%
2019-06-30,Empire,27,77%,Outlaws,23,60%
2019-07-04,Outlaws,22,63%,Royal,25,74%
2019-07-05,Roughnecks,15,43%,Flyers,22,74%
2019-07-06,Breeze,21,58%,Rush,26,72%
2019-07-06,Thunderbirds,24,60%,Mechanix,23,58%
2019-07-06,Wind Chill,17,44%,Radicals,22,60%
2019-07-06,Empire,22,71%,Phoenix,20,56%
2019-07-06,Aviators,31,77%,Cascades,23,62%
2019-07-06,Roughnecks,19,56%,Hustle,23,68%
2019-07-06,Growlers,26,76%,Spiders,20,55%
2019-07-06,Union,21,56%,AlleyCats,24,67%
2019-07-13,Thunderbirds,29,94%,Union,16,50%
2019-07-13,Phoenix,19,67%,Outlaws,20,74%
2019-07-13,Cannons,24,61%,Flyers,25,61%
2019-07-14,Mechanix,9,27%,Radicals,33,91%
2019-07-14,Phoenix,21,64%,Royal,20,59%
2019-07-14,Thunderbirds,25,84%,AlleyCats,17,50%
2019-07-20,Union,20,50%,Thunderbirds,21,51%
2019-07-20,Aviators,21,57%,Growlers,25,73%
2019-07-20,Breeze,21,66%,Rush,22,65%
2019-07-21,Rush,16,59%,Empire,19,77%
2019-07-27,Thunderbirds,17,49%,AlleyCats,23,78%
2019-07-27,Roughnecks,21,62%,Flyers,17,58%
2019-08-10,AlleyCats,15,65%,Empire,17,80%
2019-08-10,Roughnecks,23,75%,Growlers,18,67%
2019-08-11,Roughnecks,22,84%,Empire,26,88%
